--> Epoch 0: loss 3.6534; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 1: loss 3.6162; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 2: loss 3.6130; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 3: loss 3.6017; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 4: loss 3.5396; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 5: loss 3.5363; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 6: loss 3.5343; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 7: loss 3.4706; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 8: loss 3.4484; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 9: loss 3.4707; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 10: loss 3.3976; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 11: loss 3.3545; accuracy: 0.0541; best accuracy: 0.0541
--> Epoch 12: loss 3.3791; accuracy: 0.0541; best accuracy: 0.0541
--> Epoch 13: loss 3.3051; accuracy: 0.0703; best accuracy: 0.0703
--> Epoch 14: loss 3.3651; accuracy: 0.0703; best accuracy: 0.0703
--> Epoch 15: loss 3.2078; accuracy: 0.1027; best accuracy: 0.1027
--> Epoch 16: loss 3.1540; accuracy: 0.1351; best accuracy: 0.1351
--> Epoch 17: loss 3.2256; accuracy: 0.1459; best accuracy: 0.1459
--> Epoch 18: loss 3.1707; accuracy: 0.1514; best accuracy: 0.1514
--> Epoch 19: loss 3.2516; accuracy: 0.1351; best accuracy: 0.1514
--> Epoch 20: loss 3.2214; accuracy: 0.1405; best accuracy: 0.1514
--> Epoch 21: loss 3.1338; accuracy: 0.1027; best accuracy: 0.1514
--> Epoch 22: loss 3.1967; accuracy: 0.1784; best accuracy: 0.1784
--> Epoch 23: loss 3.2200; accuracy: 0.0973; best accuracy: 0.1784
--> Epoch 24: loss 3.1195; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 25: loss 3.2290; accuracy: 0.0649; best accuracy: 0.2000
--> Epoch 26: loss 3.1446; accuracy: 0.1730; best accuracy: 0.2000
--> Epoch 27: loss 3.1398; accuracy: 0.1027; best accuracy: 0.2000
--> Epoch 28: loss 3.0742; accuracy: 0.1784; best accuracy: 0.2000
--> Epoch 29: loss 3.0192; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 30: loss 3.1568; accuracy: 0.1892; best accuracy: 0.2000
--> Epoch 31: loss 2.9754; accuracy: 0.1405; best accuracy: 0.2000
--> Epoch 32: loss 3.0433; accuracy: 0.1622; best accuracy: 0.2000
--> Epoch 33: loss 3.0160; accuracy: 0.2432; best accuracy: 0.2432
--> Epoch 34: loss 3.0194; accuracy: 0.2486; best accuracy: 0.2486
--> Epoch 35: loss 3.0055; accuracy: 0.2108; best accuracy: 0.2486
--> Epoch 36: loss 3.1743; accuracy: 0.1730; best accuracy: 0.2486
--> Epoch 37: loss 2.9311; accuracy: 0.2378; best accuracy: 0.2486
--> Epoch 38: loss 2.9693; accuracy: 0.1514; best accuracy: 0.2486
--> Epoch 39: loss 3.0310; accuracy: 0.2703; best accuracy: 0.2703
--> Epoch 40: loss 2.9655; accuracy: 0.2486; best accuracy: 0.2703
--> Epoch 41: loss 2.9610; accuracy: 0.2703; best accuracy: 0.2703
--> Epoch 42: loss 2.9429; accuracy: 0.2541; best accuracy: 0.2703
--> Epoch 43: loss 2.8735; accuracy: 0.2595; best accuracy: 0.2703
--> Epoch 44: loss 2.7665; accuracy: 0.3351; best accuracy: 0.3351
--> Epoch 45: loss 3.0058; accuracy: 0.2541; best accuracy: 0.3351
--> Epoch 46: loss 2.9111; accuracy: 0.2649; best accuracy: 0.3351
--> Epoch 47: loss 2.9903; accuracy: 0.2432; best accuracy: 0.3351
--> Epoch 48: loss 2.8135; accuracy: 0.2703; best accuracy: 0.3351
--> Epoch 49: loss 2.9283; accuracy: 0.2973; best accuracy: 0.3351
--> Epoch 50: loss 2.7639; accuracy: 0.2757; best accuracy: 0.3351
--> Epoch 51: loss 2.8398; accuracy: 0.2162; best accuracy: 0.3351
--> Epoch 52: loss 2.8475; accuracy: 0.2108; best accuracy: 0.3351
--> Epoch 53: loss 2.8632; accuracy: 0.2216; best accuracy: 0.3351
--> Epoch 54: loss 2.6922; accuracy: 0.2919; best accuracy: 0.3351
--> Epoch 55: loss 2.8095; accuracy: 0.2432; best accuracy: 0.3351
--> Epoch 56: loss 2.8324; accuracy: 0.2432; best accuracy: 0.3351
--> Epoch 57: loss 2.7089; accuracy: 0.1784; best accuracy: 0.3351
--> Epoch 58: loss 2.8087; accuracy: 0.2703; best accuracy: 0.3351
--> Epoch 59: loss 2.7050; accuracy: 0.2649; best accuracy: 0.3351
--> Epoch 60: loss 2.8658; accuracy: 0.2054; best accuracy: 0.3351
--> Epoch 61: loss 2.7265; accuracy: 0.3351; best accuracy: 0.3351
--> Epoch 62: loss 2.7669; accuracy: 0.2973; best accuracy: 0.3351
--> Epoch 63: loss 2.7884; accuracy: 0.2649; best accuracy: 0.3351
--> Epoch 64: loss 2.5810; accuracy: 0.2486; best accuracy: 0.3351
--> Epoch 65: loss 2.6015; accuracy: 0.2757; best accuracy: 0.3351
--> Epoch 66: loss 2.8927; accuracy: 0.2378; best accuracy: 0.3351
--> Epoch 67: loss 2.5538; accuracy: 0.2108; best accuracy: 0.3351
--> Epoch 68: loss 2.7313; accuracy: 0.3405; best accuracy: 0.3405
--> Epoch 69: loss 2.6863; accuracy: 0.2054; best accuracy: 0.3405
--> Epoch 70: loss 2.5548; accuracy: 0.3730; best accuracy: 0.3730
--> Epoch 71: loss 2.7001; accuracy: 0.2000; best accuracy: 0.3730
--> Epoch 72: loss 2.7135; accuracy: 0.2162; best accuracy: 0.3730
--> Epoch 73: loss 2.6160; accuracy: 0.3189; best accuracy: 0.3730
--> Epoch 74: loss 2.6214; accuracy: 0.2649; best accuracy: 0.3730
--> Epoch 75: loss 2.5653; accuracy: 0.2811; best accuracy: 0.3730
--> Epoch 76: loss 2.5140; accuracy: 0.3135; best accuracy: 0.3730
--> Epoch 77: loss 2.4006; accuracy: 0.2973; best accuracy: 0.3730
--> Epoch 78: loss 2.5100; accuracy: 0.2811; best accuracy: 0.3730
--> Epoch 79: loss 2.5205; accuracy: 0.3243; best accuracy: 0.3730
--> Epoch 80: loss 2.6285; accuracy: 0.4216; best accuracy: 0.4216
--> Epoch 81: loss 2.4809; accuracy: 0.3297; best accuracy: 0.4216
--> Epoch 82: loss 2.3675; accuracy: 0.4216; best accuracy: 0.4216
--> Epoch 83: loss 2.3857; accuracy: 0.4054; best accuracy: 0.4216
--> Epoch 84: loss 2.4381; accuracy: 0.3892; best accuracy: 0.4216
--> Epoch 85: loss 2.3807; accuracy: 0.3189; best accuracy: 0.4216
--> Epoch 86: loss 2.4307; accuracy: 0.4703; best accuracy: 0.4703
--> Epoch 87: loss 2.4867; accuracy: 0.4216; best accuracy: 0.4703
--> Epoch 88: loss 2.4438; accuracy: 0.3892; best accuracy: 0.4703
--> Epoch 89: loss 2.4704; accuracy: 0.3892; best accuracy: 0.4703
--> Epoch 90: loss 2.4936; accuracy: 0.4162; best accuracy: 0.4703
--> Epoch 91: loss 2.4678; accuracy: 0.4703; best accuracy: 0.4703
--> Epoch 92: loss 2.4610; accuracy: 0.3243; best accuracy: 0.4703
--> Epoch 93: loss 2.2563; accuracy: 0.5297; best accuracy: 0.5297
--> Epoch 94: loss 2.3721; accuracy: 0.4486; best accuracy: 0.5297
--> Epoch 95: loss 2.4524; accuracy: 0.4865; best accuracy: 0.5297
--> Epoch 96: loss 2.4652; accuracy: 0.4757; best accuracy: 0.5297
--> Epoch 97: loss 2.4669; accuracy: 0.4919; best accuracy: 0.5297
--> Epoch 98: loss 2.4420; accuracy: 0.4649; best accuracy: 0.5297
--> Epoch 99: loss 2.3704; accuracy: 0.5027; best accuracy: 0.5297
--> Epoch 100: loss 2.4478; accuracy: 0.3730; best accuracy: 0.5297
--> Epoch 101: loss 2.2636; accuracy: 0.4973; best accuracy: 0.5297
--> Epoch 102: loss 2.3184; accuracy: 0.4649; best accuracy: 0.5297
--> Epoch 103: loss 2.2497; accuracy: 0.4378; best accuracy: 0.5297
--> Epoch 104: loss 2.2879; accuracy: 0.3946; best accuracy: 0.5297
--> Epoch 105: loss 2.2785; accuracy: 0.3405; best accuracy: 0.5297
--> Epoch 106: loss 2.2818; accuracy: 0.4757; best accuracy: 0.5297
--> Epoch 107: loss 2.2961; accuracy: 0.3189; best accuracy: 0.5297
--> Epoch 108: loss 2.4495; accuracy: 0.3622; best accuracy: 0.5297
--> Epoch 109: loss 2.1594; accuracy: 0.2811; best accuracy: 0.5297
--> Epoch 110: loss 2.1936; accuracy: 0.3730; best accuracy: 0.5297
--> Epoch 111: loss 2.3141; accuracy: 0.4541; best accuracy: 0.5297
