--> Epoch 0: loss 1.6653; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 1: loss 1.6189; accuracy: 0.0000; best accuracy: 0.2000
--> Epoch 2: loss 1.5794; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 3: loss 1.5464; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 4: loss 1.5166; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 5: loss 1.4882; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 6: loss 1.4628; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 7: loss 1.4398; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 8: loss 1.4174; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 9: loss 1.3950; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 10: loss 1.3736; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 11: loss 1.3534; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 12: loss 1.3325; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 13: loss 1.3115; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 14: loss 1.2903; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 15: loss 1.2689; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 16: loss 1.2470; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 17: loss 1.2259; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 18: loss 1.2053; accuracy: 0.2000; best accuracy: 0.4000
--> Epoch 19: loss 1.1847; accuracy: 0.2000; best accuracy: 0.4000
--> Epoch 20: loss 1.1643; accuracy: 0.2000; best accuracy: 0.4000
--> Epoch 21: loss 1.1445; accuracy: 0.2000; best accuracy: 0.4000
--> Epoch 22: loss 1.1248; accuracy: 0.2000; best accuracy: 0.4000
--> Epoch 23: loss 1.1055; accuracy: 0.2000; best accuracy: 0.4000
--> Epoch 24: loss 1.0871; accuracy: 0.2000; best accuracy: 0.4000
--> Epoch 25: loss 1.0687; accuracy: 0.2000; best accuracy: 0.4000
--> Epoch 26: loss 1.0501; accuracy: 0.2000; best accuracy: 0.4000
--> Epoch 27: loss 1.0314; accuracy: 0.2000; best accuracy: 0.4000
--> Epoch 28: loss 1.0133; accuracy: 0.2000; best accuracy: 0.4000
--> Epoch 29: loss 0.9956; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 30: loss 0.9784; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 31: loss 0.9614; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 32: loss 0.9450; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 33: loss 0.9291; accuracy: 0.2000; best accuracy: 0.4000
--> Epoch 34: loss 0.9135; accuracy: 0.2000; best accuracy: 0.4000
--> Epoch 35: loss 0.8982; accuracy: 0.2000; best accuracy: 0.4000
--> Epoch 36: loss 0.8834; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 37: loss 0.8689; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 38: loss 0.8545; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 39: loss 0.8401; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 40: loss 0.8262; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 41: loss 0.8128; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 42: loss 0.7998; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 43: loss 0.7870; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 44: loss 0.7748; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 45: loss 0.7638; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 46: loss 0.7557; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 47: loss 0.7384; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 48: loss 0.7334; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 49: loss 0.7245; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 50: loss 0.7121; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 51: loss 0.6985; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 52: loss 0.6891; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 53: loss 0.6782; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 54: loss 0.6699; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 55: loss 0.6567; accuracy: 0.8000; best accuracy: 1.0000
--> Epoch 56: loss 0.6501; accuracy: 0.8000; best accuracy: 1.0000
--> Epoch 57: loss 0.6365; accuracy: 0.8000; best accuracy: 1.0000
--> Epoch 58: loss 0.6296; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 59: loss 0.6175; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 60: loss 0.6099; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 61: loss 0.5986; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 62: loss 0.5914; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 63: loss 0.5803; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 64: loss 0.5720; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 65: loss 0.5626; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 66: loss 0.5547; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 67: loss 0.5451; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 68: loss 0.5368; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 69: loss 0.5280; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 70: loss 0.5206; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 71: loss 0.5115; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 72: loss 0.5037; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 73: loss 0.4954; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 74: loss 0.4875; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 75: loss 0.4794; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 76: loss 0.4715; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 77: loss 0.4635; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 78: loss 0.4562; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 79: loss 0.4488; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 80: loss 0.4465; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 81: loss 0.4460; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 82: loss 0.4296; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 83: loss 0.4226; accuracy: 1.0000; best accuracy: 1.0000
